Landmark_ID,name,category,description,city,locationString,latitude,longitude
NAT_01,Na'ama_Bay,Nature,"Na'ama Bay is a popular tourist resort in Sharm El Sheikh, known for its sandy beaches, vibrant nightlife, numerous restaurants, cafes, and diving opportunities in the Red Sea.",South Sinai,"Na'ama Bay, Sharm El Sheikh, South Sinai Governorate, Egypt",27.91092503,34.3322676
NAT_02,Wadi_Degla,Nature,"Wadi Degla Protectorate is a canyon valley near Cairo, popular for hiking, rock climbing, and observing unique geological formations and desert wildlife.",Cairo,"Maadi, Qattamiya, Ain Sokhna Road, Cairo, Egypt",29.94868388,31.37730927
NAT_03,Gebel_el-Silsila,Nature,"Gebel el-Silsila is an archaeological site on the banks of the Nile between Luxor and Aswan, known for its ancient sandstone quarries and numerous rock-cut temples and shrines.",Aswan,"Al Kagoug, Markaz Kom Ombo, Aswan Governorate",24.65019315,32.93004489
NAT_04,Al-Azhar_Park_(Cairo),Nature,"Al-Azhar Park is a modern green oasis in the heart of historic Cairo, offering beautiful landscaping, panoramic city views, and cultural attractions.",Cairo,"Al-Azhar Park, El-Darb El-Ahmar, Cairo Governorate, Egypt",30.04144921,31.26557596
NAT_05,Giza_Zoo,Nature,"Giza Zoo is one of the oldest zoos in Africa, located in Giza, housing a diverse collection of animals and providing recreational space for visitors.",Giza,"Nahdet Masr, Oula, Al Giza, Giza Governorate, Egypt",30.02776254,31.21360363
REL_01,Bayt_Al-Suhaymi,Religious,"Bayt Al-Suhaymi is a beautifully preserved 17th-century Ottoman-era house in Islamic Cairo, showcasing traditional Islamic architecture, intricate details, and the lifestyle of the period.",Cairo,"Harat al-Darb al-Asfar, Gamaleya, Cairo Governorate, Egypt",30.05228701,31.26244728
REL_02,Muizz_Street,Religious,"Al-Muizz li-Din Allah al-Fatimi Street is a major historical artery in Islamic Cairo, lined with stunning medieval Islamic architecture, including mosques, madrasas, and gates.",Cairo,"Al-Muizz li-Din Allah al-Fatimi Street, Islamic Cairo, Cairo Governorate, Egypt",30.05092341,31.26155084
REL_03,Fatimid_Cemetery_in_Aswan,Religious,The Fatimid Cemetery in Aswan is a historical burial ground containing numerous mud-brick tombs and mausoleums dating back to the Fatimid Caliphate.,Aswan,"Al Gabana Al Fatemeya, Sheyakhah Oula, Aswan Governorate",24.07806885,32.89176046
REL_04,Saint_George_Church_in_Coptic_Cairo,Religious,"Saint George Church, a Greek Orthodox church in Coptic Cairo, dates back to the 10th century. Rebuilt in 1904 atop a Roman tower, it's known for its circular shape and beautiful stained glass. It is an active church and a significant site in the Coptic Cairo area.",Cairo,"Coptic Cairo, Cairo, Egypt",30.0063103,31.23016516
REL_05,Bagawat,Religious,The Necropolis of Bagawat in the Kharga Oasis contains hundreds of mud-brick tombs with unique painted Christian chapels dating from the 4th to 6th centuries CE.,New Valley,"Bagawat Necropolis, Kharga Oasis, New Valley Governorate, Egypt",25.48567824,30.55453411
TMP_01,Mortuary_Temple_of_Hatshepsut,Temple,"The Mortuary Temple of Hatshepsut, located on the West Bank of Luxor, is an impressive architectural marvel with colonnaded terraces carved into the cliff face, dedicated to the female pharaoh Hatshepsut.",Luxor,"Deir el-Bahari, West Bank, Luxor, Luxor Governorate, Egypt",25.73739608,32.60768105
TMP_02,Temple_of_Khonsu_in_Karnak,Temple,"The Temple of Khonsu is an ancient Egyptian temple located within the Karnak Temple complex in Luxor. It was dedicated to Khonsu, the moon god, and is one of the smaller temples in Karnak but is notable for its well-preserved reliefs and inscriptions. The temple was constructed during the reign of Pharaoh Ramesses III and features walls that depict Khonsu in various scenes of mythology, including his journey across the night sky. The Temple of Khonsu is an important religious site, reflecting the role of lunar deities in Egyptian culture.",Luxor,"Karnak Temple Complex, Luxor, Luxor Governorate, Egypt",25.71885508,32.65727483
TMP_03,Temple_of_Isis_in_Philae,Temple,"The Temple of Isis, dedicated to the goddess Isis, was moved to Agilkia Island to save it from the flooding of Lake Nasser. It's a beautiful example of ancient Egyptian architecture.",Aswan,"Agilkia Island, near Aswan, Aswan Governorate, Egypt",24.02621877,32.88448802
TMP_04,Kiosk_of_Trajan_in_Philae,Temple,This elegant Roman kiosk stands on Agilkia Island as part of the Philae Temple complex. It features ornate columns and served a ceremonial purpose.,Aswan,"Philae Temple Complex, Agilkia Island, near Aswan, Aswan Governorate, Egypt",24.02538306,32.88483139
TMP_05,Temple_of_Kom_Ombo,Temple,"The Temple of Kom Ombo is a unique double temple dedicated to the crocodile god Sobek and the falcon god Haroeris, located on the banks of the Nile.",Aswan,"Nagoa Ash Shatb, Markaz Kom Ombo, Aswan Governorate",24.45242617,32.92856064
